"lang";"fakulta";"pracZkr";"zkrPredm";"rokVarianty";"nazev";"kredity";"vyukaZs";"vyukaLs";"jazyky";"jazykyZkr";"skupinaAkreditaceZkr";"skupinaAkreditace";"urovenVypoctena";"ectsNabizetUPrijezdu";"ectsZobrazit"
"";"FEI";"KRP";"BMWA";"2019";"Principles of Mobile and Web Applications";"4";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"BPRJA";"2019";"Programming in JAVA Language";"4";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"BPROC";"2019";"Programming in C Language";"5";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"BSAM";"2019";"Sensors and Measurement of Non-Electric Quantities";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"BZAUT";"2019";"Introduction to Automation";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"BZLOR";"2019";"Introduction to Logic Control";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"BZMCH";"2019";"Introduction to Mechatronics";"4";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IAMR";"2019";"Aplication of Microprocessor";"5";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IAUT1";"2019";"Process control I";"5";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IAUT2";"2019";"Process control II";"5";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IAUTL";"2019";"Process control, laboratory practice";"3";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IAUTS";"2019";"Automatization";"0";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"N"
"";"FEI";"KRP";"IBAPE";"2019";"Bachelor Thesis";"10";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IBASE";"2019";"Bachelor Course";"2";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IDIFO";"2019";"Digital Photography";"2";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IHIT1";"2019";"History of Technology 1";"2";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IHIT2";"2019";"History of technology 2";"2";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IHWPS";"2019";"HW resources automatic control";"0";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"N"
"";"FEI";"KRP";"IIFZ";"2019";"Information Resources and Its Exploitation";"2";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IIFZE";"2019";"Information Resources and Its Exploitation";"2";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IMSDS";"2019";"Modeling and simulation of dynamical processes";"4";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IMSW";"2019";"Computer SW Modelling";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IMTER";"2019";"Microprocessor Technology";"5";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IMTES";"2019";"Measuring technique";"0";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"N"
"";"FEI";"KRP";"INAR1";"2019";"Theory of Automatic Control";"6";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INAR2";"2019";"Theory of Automatic Control";"6";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INAR3";"2019";"Theory of Automatic Control";"6";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INARZ";"2019";"Theory of Automatic Control";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"INDP";"2019";"Diploma Thesis";"15";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INDS";"2019";"Diploma Thesis Seminar";"2";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INLC1";"2019";"Laboratory exercises";"4";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INLC2";"2019";"Laboratory exercises";"4";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INMDS";"2019";"Identification and Modeling of Dynamic Systems";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INMDZ";"2019";"Identification and Modeling of Dynamic Systems";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"INMO";"2019";"Methods of Optimization and Optimal Control";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INMOE";"2019";"Methods of Optimization and Optimal Control";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INMOZ";"2019";"Methods of Optimization and Optimal Control";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"INPR";"2019";"Industrial Robots";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INPRE";"2019";"Advanced Control Systems
";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INPRZ";"2019";"Industrial Robots";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"INPSE";"2019";"Industrial control systems";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INPSZ";"2019";"Industrial control systems";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"INRS";"2019";"Design of Control Systems";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INRSE";"2019";"Control systems theory";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INRSZ";"2019";"Design of Control Systems";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"INSAD";"2019";"Statistical analysis of multivariate data";"4";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INSEP";"2019";"Term Project";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INSPR";"2019";"Software Tools for Control";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INSZD";"2019";"Chemometrics I";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INUI1";"2019";"Introduction to Artificial Intelligence";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INUI2";"2019";"Introduction to Artificial Intelligence";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INUIZ";"2019";"Introduction to Artificial Intelligence";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"INZM";"2019";"Fundamentals of Mechatronics";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"INZMZ";"2019";"Fundamentals of Mechatronics";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"N"
"";"FEI";"KRP";"IOPEX";"2019";"Professional Training - Excursion";"2";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IPAR";"2019";"Instruments of automatic control";"5";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IPRLR";"2019";"Programming of Control Applications";"4";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IREGE";"2019";"Control and Automation";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IROB";"2019";"Robots";"3";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"ISWPS";"2019";"Resources automatic drive";"0";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"N"
"";"FEI";"KRP";"ITETP";"2019";"Word and spreadsheet processors";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IUJCR";"2019";"Introduction to Language C";"5";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IVPV";"2019";"Development of Natural Sciences";"2";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IVPV2";"2019";"Development of Natural Sciences";"2";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IZELS";"2019";"Examinationbases electricians";"0";"A";"A";"Czech";"CZ";"";"";"Bc.";"N";"N"
"";"FEI";"KRP";"IZIT";"2019";"Fundamentals of Information Technologies";"5";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IZKPR";"2019";"Introduction to programming";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"IZSE";"2019";"Principles of Electronic Engineering";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KRP";"NALOP";"2019";"Algorithms of Optimization";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NDIRI";"2019";"Discrete-time Control";"6";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NIMDS";"2019";"Identification and Modeling of Dynamic Systems";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NLAUT";"2019";"Automation Laboratory";"4";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NLMRS";"2019";"Measurement and Control Systems Laboratory";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NLPMR";"2019";"Advanced Control Methods Laboratory";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NMCHT";"2019";"Mechatronics";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNDP";"2019";"Diploma Thesis";"18";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNDS";"2019";"Diploma Thesis Seminar";"3";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNPR";"2019";"Industrial Robots";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNPSE";"2019";"Industrial Control Systems";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNRS";"2019";"Design of Control Systems";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNSAD";"2019";"Statistical Analysis of Multivariate Data";"4";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNSEP";"2019";"Semestral Project";"4";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNSPR";"2019";"Software Tools for Control";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNSZD";"2019";"Statistical Methods for Data Processing";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNUI1";"2019";"Introduction to Artificial Intelligence 1";"5";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NNUI2";"2019";"Introduction to Artificial Intelligence 2";"5";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NPRER";"2019";"Predictive Control";"4";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NSPRI";"2019";"Continuous-time Control";"6";"A";"N";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KRP";"NTERS";"2019";"Control Theory";"0";"N";"A";"Czech";"CZ";"";"";"Mgr.";"N";"A"
"";"FEI";"KIT";"BALGO";"2019";"Algorithm Development";"4";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KIT";"BBDS";"2019";"Wireless Networks";"4";"N";"A";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KIT";"BIFZ";"2019";"Information Resources and Its Exploitation";"3";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
"";"FEI";"KIT";"BMAR";"2019";"Marketing";"3";"A";"N";"Czech";"CZ";"";"";"Bc.";"N";"A"
