id_course;course_shrt_name;course_name
1;IDZAM;Selected Chapters from Applied Mathematics
2;IDZNP;Stochastic Processes
3;INAK2;English conversation for follow-up master students
4;INAKO;English conversation for follow-up master students
5;IZST1;Traineeship abroad 1
6;IZST2;Traineeship abroad 2
7;PROJ1;Project 1
8;PROJ2;Project 2
9;ZAAP;English for Academic Purposes for Erasmus students
10;ZNAKO;English Conversation for Erasmus Students
11;IPAAH;Anglictina pro akademicke ucely II - B2+
12;IDAS1;Databazove systemy I
13;IDATS;Datove struktury
14;KCV2;Kondicni cviceni LS
15;IMAT2;Matematika 2
16;IMSW;Modelovani ve vypoctovych SW
17;ISQBD;noSQL systemy a Big Data
18;IOPE2;Odborna praxe - exkurze II
19;ICSHP;Programovani v .NET a C#
20;IRPP2;Rizena prazdninova praxe II
21;ITEJA;Teorie jazyka
22;IZAPR;Zaklady programovani
23;I3DGR;3D grafika
